codigo_sigtap,descricao,valor_sus_2024
301010072,Consulta em Clínica Geral,75.38
301010072,Consulta em Cardiologia,75.38
301010072,Consulta em Ortopedia,75.38
301010072,Consulta em Neurologia,75.38
301010072,Consulta em Ginecologia e Obstetrícia,75.38
301010072,Consulta em Pediatria,75.38
301010072,Consulta em Oftalmologia,75.38
301010072,Consulta em Dermatologia,75.38
301010072,Consulta em Pneumologia,75.38
301010072,Consulta em Urologia,75.38
301010072,Consulta em Endocrinologia,75.38
301010072,Consulta em Gastroenterologia,75.38
301010072,Consulta em Reumatologia,130.66
301010072,Consulta em Psiquiatria,150.76
301010072,Consulta em Infectologia,75.38
301010048,Consulta Odontologia,68.19
301010048,Consulta Psicologia,34.32
301010048,Consulta Fonoaudiologia,47.11
301010048,Consulta Nutrição,41.66
